[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[267] pstFrameInfo->nFrameNum[278]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[278] pstFrameInfo->nFrameNum[289]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[289] pstFrameInfo->nFrameNum[300]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[300] pstFrameInfo->nFrameNum[311]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[311] pstFrameInfo->nFrameNum[322]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L0541: nFrameNum[322] pstFrameInfo->nFrameNum[333]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
